Sales for: 2018-01-01,,,,
Sales Person,North,East,South,West
         James (1769),373,5209,3552,789
         Tim (2213),2135,629,2435,6207
         Mark (1336),9775,8831,8679,376
         Jane (6765),7346,6285,3324,741
Total,19629,20954,17990,8113
,,,,
Sales for: 2018-01-02,,,,
Sales Person,North,East,South,West
         Mark (3305),7906,9530,6499,4595
         Mark (1336),5962,8481,2163,5720
         Jane (6765),9118,1328,2627,6467
         Tom (8882),3388,4944,3385,7502
Total,26374,24283,14674,24284
,,,,
Sales for: 2018-01-03,,,,
Sales Person,North,East,South,West
         David (7177),7900,8156,1664,5782
         James (1769),794,2971,1228,5529
         Janet (3655),1964,7401,7315,6742
         Tim (2213),2123,147,9644,1244
         Mark (1336),1014,342,1909,5052
         Tom (8882),4099,6761,7343,5342
Total,17894,25778,29103,29691
,,,,
Sales for: 2018-01-04,,,,
Sales Person,North,East,South,West
         Janet (3655),567,5865,5811,4688
         Mark (1336),1493,3553,4543,4661
         David (4164),7537,7216,6178,6153
         Jane (6765),331,3435,7496,7008
         Tom (8882),1181,8473,9008,3081
         Greg (5661),3526,7129,9668,5500
Total,14635,35671,42704,31091
,,,,
Sales for: 2018-01-05,,,,
Sales Person,North,East,South,West
         David (7177),5477,6322,4205,7889
         James (1769),5107,4748,2145,4404
         Janet (3655),7439,3715,3828,1765
         Tim (2213),190,5949,9710,9438
         Jane (6765),4648,1626,2446,6912
         Greg (5661),8062,3755,7422,635
Total,30923,26115,29756,31043
,,,,
Sales for: 2018-01-06,,,,
Sales Person,North,East,South,West
         David (7177),4298,9771,3237,6434
         Mark (3305),3273,7813,7522,4793
         Mark (1336),4647,2032,3322,8392
         David (4164),6690,5881,213,3478
         Jane (6765),6509,1496,8988,7996
         Tom (8882),3434,5682,1186,2182
Total,28851,32675,24468,33275
,,,,
Sales for: 2018-01-07,,,,
Sales Person,North,East,South,West
         David (7177),2733,1459,4824,2076
         James (1769),1725,7351,5064,7555
         Janet (3655),9600,8225,9674,6408
         Tim (2213),1081,3633,5347,4256
         Mark (1336),968,9809,6757,2032
         David (4164),1874,7213,6250,3379
         Jane (6765),6005,2589,9499,9009
         Greg (5661),2995,5434,1660,9195
Total,26981,45713,49075,43910
,,,,
Sales for: 2018-01-08,,,,
Sales Person,North,East,South,West
         David (7177),2833,1559,4924,2176
         James (1769),1825,7451,5164,7655
         Janet (3655),9700,8325,9774,6508
         Tim (2213),1181,3733,5447,4356
         Mark (1336),1068,9909,6857,2132
         David (4164),1974,7313,6350,3479
         Jane (6765),6105,2689,9599,9109
         Greg (5661),3095,5534,1760,9295
Total,27781,46513,49875,44710
